t_id,emocion,tiempo_recogida,fecha_hora
Training_10118481.jpg,angry,291,2022-09-13 10:00:00
Training_10120469.jpg,angry,425,2022-09-19 00:00:00
Training_10131352.jpg,angry,499,2022-09-22 02:00:00
Training_10161559.jpg,angry,715,2022-10-01 02:00:00
Training_1021836.jpg,angry,301,2022-09-13 20:00:00
Training_10269675.jpg,angry,415,2022-09-18 14:00:00
Training_10278738.jpg,angry,458,2022-09-20 09:00:00
Training_10290703.jpg,angry,104,2022-09-05 15:00:00
Training_10295477.jpg,angry,184,2022-09-08 23:00:00
Training_10315441.jpg,angry,221,2022-09-10 12:00:00
Training_10316849.jpg,angry,443,2022-09-19 18:00:00
Training_10333072.jpg,angry,99,2022-09-05 10:00:00
Training_10334355.jpg,angry,362,2022-09-16 09:00:00
Training_10345473.jpg,,230,2022-09-10 21:00:00
Training_10422050.jpg,angry,157,2022-09-07 20:00:00
Training_10485618.jpg,angry,706,2022-09-30 17:00:00
Training_10503476.jpg,angry,164,2022-09-08 03:00:00
Training_10524198.jpg,angry,311,2022-09-14 06:00:00
Training_10539399.jpg,angry,563,2022-09-24 18:00:00
Training_10592361.jpg,angry,161,2022-09-08 00:00:00
Training_10595751.jpg,angry,51,2022-09-03 10:00:00
Training_10608067.jpg,angry,359,2022-09-16 06:00:00
Training_10740356.jpg,angry,213,2022-09-10 04:00:00
Training_10851653.jpg,angry,353,2022-09-16 00:00:00
Training_10857340.jpg,angry,662,2022-09-28 21:00:00
Training_10882484.jpg,angry,106,2022-09-05 17:00:00
Training_10899258.jpg,angry,696,2022-09-30 07:00:00
Training_10922970.jpg,angry,296,2022-09-13 15:00:00
Training_10967257.jpg,angry,285,2022-09-13 04:00:00
Training_11023881.jpg,angry,91,2022-09-05 02:00:00
Training_11036720.jpg,angry,158,2022-09-07 21:00:00
Training_11102431.jpg,angry,512,2022-09-22 15:00:00
Training_11175213.jpg,angry,418,2022-09-18 17:00:00
Training_11185740.jpg,angry,362,2022-09-16 09:00:00
Training_1119091.jpg,angry,282,2022-09-13 01:00:00
Training_11206889.jpg,angry,667,2022-09-29 02:00:00
Training_1120923.jpg,angry,40,2022-09-02 23:00:00
Training_11247006.jpg,angry,493,2022-09-21 20:00:00
