t_id,id_visitante,duracion
Training_10118481.jpg,16656,308
Training_15361067.jpg,12164,344
Training_16232328.jpg,28210,161
Training_27705571.jpg,26769,260
Training_63766171.jpg,794,169
Training_66555113.jpg,10208,231
Training_81499267.jpg,29084,240
Training_94007493.jpg,23609,257
Training_12950225.jpg,15473,350
Training_42955258.jpg,12116,341
Training_50338135.jpg,7995,281
Training_65820611.jpg,20495,276
Training_8397060.jpg,3936,204
Training_90069123.jpg,12215,346
Training_28136915.jpg,12537,361
Training_52516519.jpg,16442,184
Training_61794811.jpg,12819,374
Training_66142455.jpg,2418,230
Training_72798447.jpg,14347,454
Training_78245467.jpg,3823,484
Training_83065372.jpg,3532,365
Training_87355987.jpg,1537,350
Training_88196061.jpg,21222,252
Training_29363112.jpg,642,456
Training_36501565.jpg,9133,389
Training_53284079.jpg,10791,272
Training_53305606.jpg,11996,336
Training_20716064.jpg,11432,307
Training_61325993.jpg,8923,322
Training_61564918.jpg,5711,306
Training_75082078.jpg,9729,176
PublicTest_43074366.jpg,21097,538
PublicTest_28123281.jpg,12197,345
PublicTest_75651978.jpg,13230,393
PrivateTest_92593957.jpg,13456,405
PrivateTest_98556225.jpg,14440,459
Training_10120469.jpg,21912,103
Training_15848209.jpg,25961,245
Training_19226789.jpg,9526,126
Training_2729866.jpg,28605,365
Training_2978709.jpg,27526,255
Training_50449072.jpg,897,261
Training_59169722.jpg,28834,445
Training_72552568.jpg,13655,415
Training_8911067.jpg,19972,370
Training_19237812.jpg,5441,527
Training_37488451.jpg,23844,346
Training_4879752.jpg,6145,475
Training_94085355.jpg,26943,326
Training_99751984.jpg,32043,478
Training_20208912.jpg,1522,350
Training_21243772.jpg,22111,293
Training_30113079.jpg,3195,226
Training_56543816.jpg,20659,336
Training_72647284.jpg,27240,429
Training_78312130.jpg,19909,346
Training_85932660.jpg,20588,312
Training_91534280.jpg,28318,259
Training_94534277.jpg,9527,126
Training_1204614.jpg,11747,323
Training_15524948.jpg,17170,350
Training_57944429.jpg,20460,259
Training_68298637.jpg,20414,237
Training_72115626.jpg,12890,377
Training_86279124.jpg,8345,397
Training_13319523.jpg,26955,329
Training_50683673.jpg,11124,292
Training_98409862.jpg,2871,407
PublicTest_93746530.jpg,28893,472
PrivateTest_65546158.jpg,4009,253
PublicTest_23782142.jpg,4121,297
PublicTest_35686529.jpg,23114,368
PublicTest_88046230.jpg,19102,344
Training_10131352.jpg,12769,371
Training_15498699.jpg,7359,337
Training_16538275.jpg,11423,307
Training_27707888.jpg,28469,318
Training_33408401.jpg,7316,325
Training_35899521.jpg,10722,268
Training_46501880.jpg,26827,285
Training_49106080.jpg,10138,224
Training_53661557.jpg,13021,383
Training_81192903.jpg,11712,322
Training_84325046.jpg,2421,231
Training_90026754.jpg,7802,533
Training_91019189.jpg,4421,403
Training_96298080.jpg,31103,413
Training_98000381.jpg,11264,299
Training_18375779.jpg,19158,366
Training_25912105.jpg,23100,363
Training_33315056.jpg,16635,301
Training_5453423.jpg,30835,326
Training_77982832.jpg,29284,322
Training_12918469.jpg,12925,378
Training_14078248.jpg,2261,484
Training_36557536.jpg,2006,376
Training_36725406.jpg,16402,350
Training_41454428.jpg,15746,244
Training_69898122.jpg,20725,353
Training_9925349.jpg,15356,350
Training_13009130.jpg,23072,351
Training_21050219.jpg,27809,360
Training_29858227.jpg,12828,374
Training_70265936.jpg,5060,351
Training_83848798.jpg,10061,216
Training_47173336.jpg,22169,314
Training_55847949.jpg,13498,407
Training_93101774.jpg,17333,265
PublicTest_43169549.jpg,9167,399
Training_10161559.jpg,10178,228
Training_25957924.jpg,29175,280
Training_25979060.jpg,18932,275
Training_30337890.jpg,10282,238
Training_44830316.jpg,10169,228
Training_51885310.jpg,13072,385
Training_60986125.jpg,28640,373
Training_62362932.jpg,10873,277
Training_6971336.jpg,12381,354
Training_22868376.jpg,11508,311
Training_26552601.jpg,12584,362
Training_28677017.jpg,2842,394
Training_42037605.jpg,12409,355
Training_70760624.jpg,30577,168
Training_87335410.jpg,4888,299
Training_12302906.jpg,575,429
Training_36695637.jpg,20358,175
Training_5349872.jpg,21028,472
Training_6008930.jpg,19908,346
Training_77128306.jpg,30884,342
Training_77465577.jpg,25997,268
Training_91592034.jpg,27225,423
Training_3119601.jpg,1409,457
Training_25660075.jpg,10522,254
Training_2900169.jpg,14098,439
Training_7920978.jpg,9184,405
Training_96149283.jpg,31293,525
Training_17123874.jpg,13228,393
PublicTest_24489785.jpg,11416,307
PublicTest_85118178.jpg,13179,390
Training_1021836.jpg,3226,247
Training_15466417.jpg,6108,452
Training_19595003.jpg,6482,298
Training_54086407.jpg,15217,523
Training_73833007.jpg,12394,354
Training_81699068.jpg,4760,238
Training_9570645.jpg,16992,435
Training_98997562.jpg,20790,373
Training_13292144.jpg,12764,371
Training_15309290.jpg,12113,341
Training_29017000.jpg,830,219
Training_74697679.jpg,18750,350
Training_82880182.jpg,14290,450
Training_18787866.jpg,7971,266
Training_22275808.jpg,20154,442
Training_28451921.jpg,2040,390
Training_28801334.jpg,20165,445
Training_31446845.jpg,17398,295
Training_32034953.jpg,360,350
Training_46757857.jpg,5981,400
Training_5937598.jpg,10875,277
Training_64648532.jpg,24518,312
Training_11758836.jpg,11019,285
Training_12134104.jpg,16051,359
Training_12498684.jpg,16871,386
Training_21161378.jpg,14254,448
Training_58665762.jpg,31909,419
Training_16553115.jpg,10235,234
Training_21297515.jpg,31278,508
PublicTest_82925571.jpg,227,303
PublicTest_46731402.jpg,15328,540
PrivateTest_53534458.jpg,215,299
PrivateTest_80960922.jpg,9613,155
Training_10269675.jpg,7170,265
Training_11576563.jpg,2473,262
Training_11990539.jpg,12417,355
Training_18766042.jpg,14635,473
Training_22662478.jpg,21091,528
Training_23854394.jpg,25440,350
Training_96672251.jpg,15107,510
Training_23759223.jpg,20350,160
Training_3573297.jpg,1905,342
Training_58353816.jpg,2331,350
Training_6044803.jpg,22143,304
Training_80735344.jpg,8030,297
Training_85976655.jpg,19332,428
Training_90019797.jpg,20600,316
Training_22805885.jpg,4833,277
Training_48006396.jpg,23102,363
Training_93177841.jpg,15510,350
Training_13658077.jpg,29757,350
Training_15858912.jpg,14809,486
Training_27035614.jpg,4773,249
Training_24360152.jpg,11301,301
Training_39551863.jpg,23070,350
Training_64798486.jpg,29307,330
PublicTest_82552414.jpg,7274,309
PublicTest_22477942.jpg,21674,419
PublicTest_32658045.jpg,18548,422
PrivateTest_49758740.jpg,13270,395
PublicTest_90946837.jpg,1394,448
PrivateTest_44387244.jpg,21778,457
PrivateTest_98453427.jpg,8787,270
Training_10278738.jpg,26480,441
Training_14054767.jpg,29025,187
Training_14621559.jpg,23012,333
Training_1500617.jpg,23409,491
Training_22407840.jpg,4254,342
Training_25941890.jpg,29904,259
Training_3480868.jpg,15186,519
Training_35227874.jpg,2706,346
Training_38557671.jpg,19598,215
Training_43485342.jpg,8647,159
Training_44019301.jpg,18071,246
Training_59953801.jpg,17298,248
Training_63330481.jpg,21531,372
Training_79786106.jpg,9595,151
Training_81438547.jpg,10526,254
Training_27972185.jpg,4030,261
Training_3082951.jpg,3418,329
Training_30962418.jpg,4852,284
Training_40636222.jpg,29102,249
Training_49607398.jpg,28969,540
Training_55213475.jpg,6851,433
Training_80171012.jpg,31597,311
Training_9433235.jpg,2807,381
Training_11164844.jpg,5798,335
Training_14669195.jpg,13056,385
Training_21590511.jpg,15293,534
Training_47828209.jpg,10205,230
Training_48142094.jpg,4744,221
Training_48209345.jpg,21333,304
Training_77976444.jpg,1574,157
Training_96866302.jpg,14514,465
Training_53161413.jpg,11103,290
PublicTest_90129237.jpg,7328,329
PublicTest_32023453.jpg,8696,218
PrivateTest_52900614.jpg,14992,500
PublicTest_48364789.jpg,26266,370
PrivateTest_29873933.jpg,6241,350
PublicTest_69843457.jpg,8789,270
PrivateTest_71175068.jpg,2584,306
PublicTest_92242142.jpg,23635,273
Training_10290703.jpg,11736,323
Training_19103814.jpg,9430,10
Training_27785233.jpg,16441,184
Training_36795431.jpg,4898,304
Training_43438109.jpg,12832,374
Training_56677459.jpg,25277,297
Training_64388896.jpg,5659,287
Training_64992219.jpg,5353,467
Training_74292043.jpg,7899,218
Training_90018042.jpg,12574,362
Training_17997300.jpg,26712,227
Training_29782340.jpg,23128,374
Training_40907405.jpg,11116,291
Training_42312801.jpg,3915,181
Training_55945756.jpg,2727,351
Training_74264970.jpg,28535,340
Training_94131837.jpg,14291,450
Training_98459017.jpg,11277,300
Training_12375272.jpg,10026,213
Training_13990170.jpg,24777,395
Training_46120187.jpg,22039,262
Training_52023624.jpg,23067,349
Training_90487023.jpg,30518,535
Training_99605415.jpg,19475,511
Training_22002519.jpg,14539,467
Training_27185781.jpg,19660,249
Training_49115160.jpg,10359,244
Training_75065805.jpg,18208,304
Training_83332359.jpg,24452,282
Training_24953459.jpg,14060,437
Training_40135555.jpg,14875,491
Training_58533722.jpg,7209,281
PublicTest_49302808.jpg,10461,250
PublicTest_91481838.jpg,20434,248
PrivateTest_21475770.jpg,13457,405
PublicTest_10709121.jpg,17276,231
Training_10295477.jpg,1618,220
Training_14417147.jpg,17348,272
Training_15311033.jpg,7161,262
Training_30549878.jpg,30532,350
Training_37967715.jpg,9329,474
Training_43678585.jpg,23355,464
Training_52020878.jpg,17404,296
Training_6506913.jpg,16038,356
Training_6815405.jpg,14494,464
Training_73990468.jpg,8807,279
Training_87636016.jpg,1936,353
Training_87875595.jpg,31730,352
Training_96859053.jpg,418,368
Training_18811387.jpg,7994,281
Training_30944761.jpg,26425,422
Training_56563285.jpg,30362,438
Training_97922976.jpg,12752,370
Training_98930348.jpg,13807,423
Training_12630394.jpg,7927,240
Training_51683025.jpg,29488,390
Training_55338326.jpg,30982,374
Training_57684401.jpg,11072,288
Training_64809371.jpg,10414,247
Training_66460314.jpg,13900,428
Training_90810939.jpg,13062,385
Training_92216142.jpg,1918,347
Training_95890455.jpg,17248,211
Training_97834497.jpg,25219,272
Training_18417999.jpg,12857,375
Training_99019653.jpg,11847,328
Training_28852731.jpg,20513,287
Training_15146606.jpg,14426,458
PrivateTest_56425128.jpg,15648,144
PublicTest_25271883.jpg,21895,350
PublicTest_66548039.jpg,20315,350
PublicTest_24738517.jpg,15235,526
Training_10315441.jpg,11637,318
