t_id,emocion,fecha_hora,valoracion
Training_10118481.jpg,enojado,2022-09-13 10:00:00,2
Training_10120469.jpg,enojado,2022-09-19 00:00:00,6
Training_10131352.jpg,enojado,2022-09-22 02:00:00,0
Training_10161559.jpg,enojado,2022-10-01 02:00:00,4
Training_1021836.jpg,enojado,2022-09-13 20:00:00,6
Training_10269675.jpg,enojado,2022-09-18 14:00:00,3
Training_10278738.jpg,enojado,2022-09-20 09:00:00,6
Training_10290703.jpg,enojado,2022-09-05 15:00:00,0
Training_10295477.jpg,enojado,2022-09-08 23:00:00,1
Training_10315441.jpg,enojado,2022-09-10 12:00:00,4
Training_10316849.jpg,enojado,2022-09-19 18:00:00,0
Training_10333072.jpg,enojado,2022-09-05 10:00:00,7
Training_10334355.jpg,enojado,2022-09-16 09:00:00,2
Training_10345473.jpg,emocion_desconocida,2022-09-10 21:00:00,1
Training_10422050.jpg,enojado,2022-09-07 20:00:00,5
Training_10485618.jpg,enojado,2022-09-30 17:00:00,9
Training_10503476.jpg,enojado,2022-09-08 03:00:00,1
Training_10524198.jpg,enojado,2022-09-14 06:00:00,3
Training_10539399.jpg,enojado,2022-09-24 18:00:00,2
Training_10592361.jpg,enojado,2022-09-08 00:00:00,3
Training_10595751.jpg,enojado,2022-09-03 10:00:00,8
Training_10608067.jpg,enojado,2022-09-16 06:00:00,0
Training_10740356.jpg,enojado,2022-09-10 04:00:00,5
Training_10851653.jpg,enojado,2022-09-16 00:00:00,3
Training_10857340.jpg,enojado,2022-09-28 21:00:00,2
Training_10882484.jpg,enojado,2022-09-05 17:00:00,5
Training_10899258.jpg,enojado,2022-09-30 07:00:00,2
Training_10922970.jpg,enojado,2022-09-13 15:00:00,3
Training_10967257.jpg,enojado,2022-09-13 04:00:00,5
Training_11023881.jpg,enojado,2022-09-05 02:00:00,1
Training_11036720.jpg,enojado,2022-09-07 21:00:00,6
Training_11102431.jpg,enojado,2022-09-22 15:00:00,0
Training_11175213.jpg,enojado,2022-09-18 17:00:00,10
Training_11185740.jpg,enojado,2022-09-16 09:00:00,1
Training_1119091.jpg,enojado,2022-09-13 01:00:00,8
Training_11206889.jpg,enojado,2022-09-29 02:00:00,4
Training_1120923.jpg,enojado,2022-09-02 23:00:00,7
Training_11247006.jpg,enojado,2022-09-21 20:00:00,6
Training_11262281.jpg,enojado,2022-09-23 10:00:00,10
Training_11275727.jpg,enojado,2022-09-28 23:00:00,8
Training_1127865.jpg,enojado,2022-09-28 02:00:00,3
Training_11292723.jpg,enojado,2022-09-12 03:00:00,3
Training_11306820.jpg,enojado,2022-09-04 04:00:00,1
Training_11319077.jpg,enojado,2022-09-04 02:00:00,9
Training_11330391.jpg,enojado,2022-09-22 10:00:00,8
Training_1133567.jpg,enojado,2022-09-27 06:00:00,8
Training_11350676.jpg,enojado,2022-09-03 18:00:00,5
Training_11359731.jpg,enojado,2022-09-30 18:00:00,2
Training_11393282.jpg,enojado,2022-09-25 02:00:00,6
Training_11478843.jpg,enojado,2022-09-25 05:00:00,5
Training_11533347.jpg,enojado,2022-09-03 03:00:00,3
Training_11566408.jpg,enojado,2022-09-18 13:00:00,6
Training_11571868.jpg,enojado,2022-09-02 08:00:00,0
Training_11576563.jpg,enojado,2022-09-20 03:00:00,9
Training_11579481.jpg,enojado,2022-09-03 05:00:00,7
Training_11596465.jpg,enojado,2022-09-15 04:00:00,8
Training_11666027.jpg,enojado,2022-09-21 12:00:00,0
Training_11666709.jpg,enojado,2022-09-05 17:00:00,0
Training_11713762.jpg,enojado,2022-09-22 12:00:00,3
Training_1173634.jpg,enojado,2022-09-15 05:00:00,5
Training_11745938.jpg,enojado,2022-09-10 05:00:00,2
Training_11749309.jpg,enojado,2022-09-01 12:00:00,0
Training_11769417.jpg,emocion_desconocida,2022-09-28 06:00:00,9
Training_11769870.jpg,enojado,2022-09-20 18:00:00,6
Training_11770015.jpg,enojado,2022-09-17 14:00:00,4
Training_11808005.jpg,enojado,2022-09-16 05:00:00,8
Training_11820572.jpg,enojado,2022-09-27 17:00:00,10
Training_1184435.jpg,enojado,2022-09-22 09:00:00,10
Training_11860503.jpg,enojado,2022-09-15 11:00:00,2
Training_11888118.jpg,enojado,2022-09-13 08:00:00,9
Training_11917747.jpg,enojado,2022-09-20 00:00:00,9
Training_1193977.jpg,enojado,2022-09-06 23:00:00,8
Training_11940623.jpg,enojado,2022-09-30 15:00:00,3
Training_11947615.jpg,enojado,2022-09-02 05:00:00,10
Training_11954904.jpg,enojado,2022-09-29 15:00:00,10
Training_11983206.jpg,enojado,2022-09-24 13:00:00,0
Training_11990539.jpg,enojado,2022-09-30 00:00:00,9
Training_12006812.jpg,enojado,2022-09-30 20:00:00,7
Training_12017013.jpg,enojado,2022-09-14 18:00:00,0
Training_12037449.jpg,enojado,2022-09-24 17:00:00,2
Training_12045034.jpg,enojado,2022-10-01 04:00:00,5
Training_12075336.jpg,enojado,2022-09-24 10:00:00,1
Training_12091917.jpg,enojado,2022-09-21 07:00:00,4
Training_12095508.jpg,enojado,2022-09-03 15:00:00,3
Training_12095988.jpg,enojado,2022-09-09 04:00:00,3
Training_12148960.jpg,enojado,2022-09-05 08:00:00,8
Training_12155031.jpg,enojado,2022-09-11 06:00:00,6
Training_12168970.jpg,enojado,2022-09-27 15:00:00,5
