t_id,atraccion,comienzo_atraccion,tiempo_de_espera,id_visitante
Training_10118481.jpg,Montaña Rusa de la Luna,291,5,3
Training_15361067.jpg,Mansión Embrujada,180,11,3
Training_16232328.jpg,Simulador Espacial 3D,384,19,3
Training_27705571.jpg,Fiesta de los Dulces,625,9,3
Training_63766171.jpg,Gran Caída Libre,613,17,3
Training_66555113.jpg,Cine 4D Emocionante,533,18,3
Training_81499267.jpg,Tobogán del Arco Iris,297,19,3
Training_94007493.jpg,Vuelo Mágico,82,7,3
Training_12950225.jpg,Araña Saltarina,316,9,3
Training_42955258.jpg,Tobogán del Arco Iris,552,10,3
Training_50338135.jpg,Cine 4D Emocionante,417,9,3
Training_65820611.jpg,Mundo de las Maravillas,698,9,3
Training_8397060.jpg,Mansión Embrujada,716,11,3
Training_90069123.jpg,Simulador Espacial 3D,414,9,3
Training_28136915.jpg,Mansión Embrujada,2,14,3
Training_52516519.jpg,Mansión Embrujada,583,20,3
Training_61794811.jpg,Fiesta de los Dulces,88,19,3
Training_66142455.jpg,Mundo de las Maravillas,237,16,3
Training_72798447.jpg,Cohetes Galácticos,183,5,3
Training_78245467.jpg,Cohetes Galácticos,156,16,3
Training_83065372.jpg,Safari Salvaje,241,19,3
Training_87355987.jpg,Barco Pirata Misterioso,539,14,3
Training_88196061.jpg,Montaña del Misterio,524,12,3
Training_29363112.jpg,Mundo de las Maravillas,504,16,3
Training_36501565.jpg,Selva Encantada,352,13,3
Training_53284079.jpg,Cohetes Galácticos,156,15,3
Training_53305606.jpg,Jardín de las Hadas,321,12,3
Training_20716064.jpg,Cine 4D Emocionante,658,15,3
Training_61325993.jpg,Espejos de la Risueña,308,8,3
Training_61564918.jpg,Mansión Embrujada,37,14,3
Training_75082078.jpg,Laberinto de Sueños,510,13,3
PublicTest_43074366.jpg,Dragón Volador,121,14,3
PublicTest_28123281.jpg,Selva Encantada,524,22,3
PublicTest_75651978.jpg,Dragón Volador,394,14,3
PrivateTest_92593957.jpg,Carros Chocones Divertidos,360,15,3
PrivateTest_98556225.jpg,Carros Chocones Divertidos,645,13,3
Training_10120469.jpg,Carrusel Encantado,425,11,4
Training_15848209.jpg,Viaje al Centro de la Tierra,363,16,4
Training_19226789.jpg,Montaña Rusa de la Luna,15,12,4
Training_2729866.jpg,Mansión Embrujada,277,12,4
Training_2978709.jpg,Caravana de Aventuras,338,16,4
Training_50449072.jpg,Cascada Encantada,655,8,4
Training_59169722.jpg,Carrusel Encantado,389,20,4
Training_72552568.jpg,Gran Caída Libre,197,10,4
Training_8911067.jpg,Carrera de Autos Locos,608,9,4
Training_19237812.jpg,Rápido del Trueno,469,14,4
Training_37488451.jpg,Montaña Rusa de la Luna,582,16,4
Training_4879752.jpg,Laberinto de Sueños,214,12,4
Training_94085355.jpg,Montaña Rusa de la Luna,196,5,4
Training_99751984.jpg,Vuelta al Mundo en 80 Días,87,7,4
Training_20208912.jpg,Gran Caída Libre,99,9,4
Training_21243772.jpg,Carrera de Autos Locos,581,12,4
Training_30113079.jpg,Fiesta de los Dulces,697,11,4
Training_56543816.jpg,Caravana de Aventuras,611,6,4
Training_72647284.jpg,Cúpula Estelar,420,14,4
Training_78312130.jpg,Barco Pirata Misterioso,264,4,4
Training_91534280.jpg,Circuito Veloz,495,8,4
Training_94534277.jpg,Simulador Espacial 3D,47,15,4
Training_68298637.jpg,Dragón Volador,476,13,4
Training_72115626.jpg,Simulador Espacial 3D,18,13,4
Training_86279124.jpg,Carros Chocones Divertidos,287,11,4
Training_13319523.jpg,Mansión Embrujada,410,10,4
Training_50683673.jpg,Aventuras Acuáticas,101,14,4
Training_98409862.jpg,Simulador Espacial 3D,714,11,4
PublicTest_93746530.jpg,Cohetes Galácticos,166,15,4
PrivateTest_65546158.jpg,Carrusel Encantado,439,12,4
PublicTest_23782142.jpg,Espejos de la Risueña,281,12,4
PublicTest_35686529.jpg,Aventuras Acuáticas,304,17,4
PublicTest_88046230.jpg,Safari Salvaje,475,18,4
Training_10131352.jpg,Cine 4D Emocionante,499,13,5
Training_15498699.jpg,Cúpula Estelar,538,11,5
Training_16538275.jpg,Cúpula Estelar,319,8,5
Training_27707888.jpg,Araña Saltarina,194,16,5
Training_33408401.jpg,Tirolina Extrema,113,11,5
Training_35899521.jpg,Circus Fantástico,175,17,5
Training_46501880.jpg,Espejos de la Risueña,353,9,5
Training_49106080.jpg,Safari Salvaje,346,9,5
Training_53661557.jpg,Tobogán del Arco Iris,82,9,5
Training_84325046.jpg,Carrera de Autos Locos,636,12,5
Training_90026754.jpg,Cascada Encantada,320,10,5
Training_96298080.jpg,Cascada Encantada,450,10,5
